Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Total entities,Received messages,Sent messages
100558851,148829,173765,1,1,0,1,1,4,C:6 R:2 B:3 ,C:7 R:2 B:3 
200539474,155556,755747,29,26,2,6,29,57,C:338 R:30 L:1033 T:9 B:2 ,C:305 R:36 L:6035 H:15 Q:32 B:9 
300539573,136244,121549,14,7,1,6,17,36,L:39 T:4 B:12 C:178 R:14 Q:4 ,L:5395 Q:53 B:53 H:27 C:145 T:64 R:21 
400540115,143331,57875,9,1,3,4,14,36,L:21 C:67 B:6 R:4 Q:1 ,H:9 L:1042 Q:22 B:27 C:62 R:6 
500540356,153642,176599,13,3,4,4,18,36,C:281 R:14 B:5 L:18 ,C:124 R:37 L:1712 B:31 H:3 D:7 Q:20 
600539731,127298,102953,9,4,3,4,22,37,C:160 B:15 L:5 R:8 ,L:650 C:73 B:30 Q:7 R:17 H:8 
700540454,117925,99987,17,0,6,6,32,30,C:176 R:15 L:5 B:11 ,L:530 B:25 H:8 C:112 R:17 Q:5 D:6 
800540615,80556,67979,14,0,6,6,29,35,B:14 C:130 L:5 R:7 ,C:66 B:25 Q:5 R:10 
900540328,89138,68593,12,0,6,6,31,35,C:108 B:15 L:5 R:6 ,B:25 C:68 Q:5 R:8 
1000540292,84892,38447,9,0,6,6,28,37,B:18 C:33 L:5 ,C:20 B:30 Q:5 
1100540285,96779,62340,11,0,5,5,26,38,C:94 R:6 B:23 L:5 ,C:73 R:9 B:26 Q:5 
1200540481,106257,69896,11,0,5,5,30,40,B:21 C:83 L:5 R:7 ,C:73 B:20 Q:5 R:8 
1300540438,113626,458715,29,21,1,8,33,66,B:34 C:314 L:699 R:21 ,C:228 B:37 Q:4 R:32 L:1480 
1400540494,245703,2235794,25,22,0,5,29,86,L:4415 C:367 B:143 T:23 Q:149 D:16 H:18 R:11 ,L:6840 B:123 C:394 H:12 Q:48 T:2 R:11 
1500540582,217834,2244209,26,17,4,7,29,81,H:17 L:4687 B:133 C:410 Q:76 D:23 T:10 R:14 ,L:5898 Q:18 C:354 B:110 D:13 R:14 T:6 
1600541174,179698,1911873,27,21,3,6,29,64,L:4056 B:139 C:474 H:19 Q:81 R:11 D:7 T:28 ,L:4585 D:15 C:308 B:113 T:17 Q:29 R:5 H:1 
1700541357,144386,1799134,25,19,3,7,29,53,L:3789 C:414 B:149 D:9 R:12 Q:77 T:30 ,C:333 L:3876 B:125 Q:17 T:11 R:12 
1800543260,149112,1596485,24,18,3,7,28,60,L:3244 B:116 C:281 T:25 D:7 Q:37 H:13 R:6 ,L:3918 C:282 B:109 Q:7 T:13 D:9 R:12 
1900543282,147622,895790,14,1,6,6,21,27,L:1806 B:94 C:264 H:24 Q:35 T:36 D:8 R:4 ,L:3203 C:214 B:114 T:8 Q:11 D:22 H:6 R:4 
2000543405,89636,66998,14,0,5,5,24,29,L:30 B:17 R:8 C:112 H:2 ,Q:2 C:70 B:28 R:11 
2100543573,88414,71077,9,0,4,4,26,30,C:93 B:18 R:7 ,B:29 C:58 R:8 
2200543852,89286,43404,9,0,4,4,25,32,C:41 B:28 R:2 ,B:25 C:39 R:1 
2300543900,84177,57044,9,0,5,5,23,32,B:20 C:69 R:4 ,C:41 B:31 R:5 
2400544015,90448,72162,10,0,5,5,22,36,B:23 C:88 R:5 ,C:54 B:36 R:7 
2500543892,132647,377845,21,14,3,7,27,109,B:48 C:233 R:13 L:599 ,C:162 B:44 R:14 L:769 
2600543934,253699,1738036,21,15,3,8,27,145,L:3436 C:374 B:133 R:12 T:34 Q:59 D:14 H:4 ,L:4450 B:130 C:303 H:7 Q:70 R:10 D:13 
2700544097,231048,1615826,21,14,3,8,27,124,L:3307 B:132 C:334 D:17 Q:33 H:3 T:16 R:7 ,D:25 L:4551 C:287 B:124 Q:57 R:14 T:2 
2800544192,233347,1456678,20,15,3,7,26,133,L:2904 B:125 C:209 Q:26 T:50 D:10 H:6 R:2 ,L:4791 C:210 R:1 B:131 D:12 Q:72 H:8 
2900544309,240790,1568731,22,14,4,8,28,112,L:3124 C:297 T:41 Q:40 B:124 R:8 D:16 H:5 ,L:5238 C:268 H:4 Q:93 B:133 R:14 T:43 D:11 
3000544325,205219,1263408,20,13,4,8,27,95,L:2506 B:124 C:304 Q:29 H:8 D:10 T:9 R:5 ,L:5020 C:233 B:129 Q:67 T:1 H:5 D:14 R:12 
3100544374,174038,1019017,14,4,7,8,21,29,L:2021 B:98 D:11 C:164 Q:37 R:3 T:13 H:17 ,C:169 L:3783 B:111 Q:57 H:7 D:12 T:4 R:2 
3200544562,73509,87465,12,0,8,8,23,32,L:103 C:88 B:27 R:5 ,B:55 C:69 Q:3 R:12 L:76 
3300544635,87925,94788,12,0,7,7,28,34,C:122 R:7 B:23 ,B:43 C:91 R:11 
3400544684,93591,33373,8,0,7,7,24,35,B:19 C:32 R:1 ,C:27 B:40 
3500544748,101144,80376,9,0,7,7,29,36,R:3 C:83 B:19 ,B:33 C:43 R:9 
3600545426,101114,53329,8,0,7,7,25,38,C:77 B:22 R:2 ,B:34 C:37 R:7 
3700544970,120995,325426,16,9,2,7,27,146,B:28 C:147 R:9 L:687 ,C:122 B:41 R:12 L:1117 
3800545045,260112,1643895,16,9,1,7,27,166,L:3795 C:217 B:93 T:68 R:10 D:15 Q:10 H:3 ,L:4213 B:82 C:263 H:10 Q:44 R:11 T:54 
